Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
240,E.J. Liddell,PF,23,NOP,3,0,3.0,0.3,1.3,.250,0.0,1.0,.000,0.3,0.3,1.000,.250,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,1.3,2024
241,Damian Lillard,PG,33,MIL,9,9,33.2,6.2,16.1,.386,2.4,8.6,.286,3.8,7.6,.500,.462,9.4,10.1,.934,0.7,3.6,4.2,5.7,1.1,0.1,3.0,1.1,24.3,2024
242,Nassir Little,PF,23,PHO,6,0,10.3,1.2,2.5,.467,0.5,1.7,.300,0.7,0.8,.800,.567,0.7,0.7,1.000,0.2,1.0,1.2,0.2,0.8,0.2,0.3,1.5,3.5,2024
243,Dereck Lively II,C,19,DAL,11,10,24.1,3.9,5.4,.729,0.0,0.2,.000,3.9,5.2,.754,.729,1.3,2.0,.636,2.7,4.4,7.1,1.2,0.6,1.1,0.9,3.5,9.1,2024
244,Chris Livingston,SF,20,MIL,2,0,4.5,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5,2024
245,Kenneth Lofton Jr.,PF,21,MEM,7,0,8.4,1.0,2.6,.389,0.3,0.7,.400,0.7,1.9,.385,.444,0.4,1.4,.300,0.3,1.0,1.3,1.0,0.3,0.3,0.4,1.6,2.7,2024
246,Kevon Looney,C,27,GSW,12,11,23.9,2.4,3.9,.617,0.0,0.0,,2.4,3.9,.617,.617,0.7,0.8,.800,3.2,5.9,9.1,2.8,0.8,0.4,1.0,2.9,5.5,2024
247,Brook Lopez,C,35,MIL,11,11,26.9,3.5,8.7,.406,1.7,4.9,.352,1.8,3.8,.476,.505,0.8,1.2,.692,1.2,3.4,4.5,1.0,0.8,2.6,1.0,2.2,9.6,2024
248,Robin Lopez,C,35,MIL,2,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,2024
249,Kevin Love,PF,35,MIA,6,3,18.0,2.2,6.5,.333,1.5,5.0,.300,0.7,1.5,.444,.449,2.0,2.3,.857,0.7,4.8,5.5,1.7,0.2,0.0,0.7,1.7,7.8,2024
250,Kyle Lowry,PG,37,MIA,10,10,29.5,2.3,5.5,.418,1.8,4.2,.429,0.5,1.3,.385,.582,0.8,0.8,1.000,0.9,3.3,4.2,4.8,1.2,0.3,1.8,2.7,7.2,2024
251,Théo Maledon,PG,22,CHO,10,1,18.8,1.9,6.4,.297,0.5,2.9,.172,1.4,3.5,.400,.336,1.1,1.2,.917,0.4,1.9,2.3,2.3,0.7,0.0,1.4,1.7,5.4,2024
252,Sandro Mamukelashvili,C,24,SAS,3,0,6.3,0.7,1.7,.400,0.0,1.0,.000,0.7,0.7,1.000,.400,0.3,0.7,.500,1.3,1.0,2.3,0.3,0.3,0.0,0.7,0.7,1.7,2024
253,Terance Mann,SG,27,LAC,4,0,26.0,2.0,4.5,.444,0.5,2.0,.250,1.5,2.5,.600,.500,0.0,0.0,,2.0,2.8,4.8,3.0,0.0,0.0,1.0,2.5,4.5,2024
254,Tre Mann,PG,22,OKC,4,0,5.0,1.8,2.8,.636,0.5,1.3,.400,1.3,1.5,.833,.727,0.3,0.3,1.000,0.3,1.3,1.5,1.0,0.3,0.0,0.5,0.0,4.3,2024
255,Boban Marjanović,C,35,HOU,3,0,6.7,1.7,3.0,.556,0.0,0.3,.000,1.7,2.7,.625,.556,0.0,0.3,.000,0.7,2.0,2.7,1.0,0.0,0.3,0.0,0.7,3.3,2024
256,Lauri Markkanen,PF,26,UTA,11,11,33.3,8.1,16.8,.481,3.9,9.2,.426,4.2,7.6,.548,.597,3.8,4.4,.875,2.3,6.4,8.6,1.5,0.9,0.8,1.5,2.4,23.9,2024
257,Naji Marshall,SF,26,NOP,2,0,17.0,3.5,6.0,.583,1.0,2.5,.400,2.5,3.5,.714,.667,4.0,4.0,1.000,1.5,1.5,3.0,2.0,0.5,1.0,1.5,2.0,12.0,2024
258,Caleb Martin,SF,28,MIA,1,0,20.0,1.0,7.0,.143,0.0,3.0,.000,1.0,4.0,.250,.143,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2024
259,KJ Martin,SF,23,TOT,6,0,6.5,0.7,1.8,.364,0.2,0.8,.200,0.5,1.0,.500,.409,0.2,0.3,.500,0.2,0.5,0.7,0.3,0.3,0.2,0.5,0.8,1.7,2024
259,KJ Martin,SF,23,LAC,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0,2024
259,KJ Martin,SF,23,PHI,4,0,2.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.5,0.0,2024
260,Garrison Mathews,SG,27,ATL,3,0,3.0,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,1.0,2024
261,Bennedict Mathurin,SF,21,IND,11,11,24.7,4.8,11.3,.427,1.3,3.9,.326,3.5,7.4,.481,.484,2.0,2.6,.759,1.5,2.5,4.1,2.3,0.7,0.2,1.5,1.3,12.9,2024
262,Wesley Matthews,SG,37,ATL,2,0,8.5,1.5,1.5,1.000,1.5,1.5,1.000,0.0,0.0,,1.500,0.5,1.0,.500,1.0,1.5,2.5,0.5,0.5,0.0,0.5,2.5,5.0,2024
263,Tyrese Maxey,PG,23,PHI,11,11,38.0,9.8,20.2,.486,3.3,7.6,.429,6.5,12.5,.522,.568,4.7,5.0,.945,0.7,4.4,5.1,6.7,0.8,0.9,1.5,2.0,27.6,2024
264,Skylar Mays,PG,26,POR,10,3,19.4,3.1,7.7,.403,0.5,2.5,.200,2.6,5.2,.500,.435,1.0,1.1,.909,0.1,1.4,1.5,4.5,0.7,0.2,1.1,1.4,7.7,2024
265,Miles McBride,PG,23,NYK,8,0,3.4,0.5,1.4,.364,0.3,1.1,.222,0.3,0.3,1.000,.455,0.1,0.3,.500,0.0,0.3,0.3,0.3,0.4,0.0,0.0,0.4,1.4,2024
266,CJ McCollum,PG,32,NOP,6,6,34.3,7.3,16.7,.440,3.2,8.3,.380,4.2,8.3,.500,.535,3.8,5.2,.742,0.8,4.0,4.8,5.7,1.5,0.8,1.3,2.3,21.7,2024
267,T.J. McConnell,PG,31,IND,7,0,13.7,3.1,5.3,.595,0.0,0.4,.000,3.1,4.9,.647,.595,1.3,1.3,1.000,0.6,2.0,2.6,3.3,0.9,0.1,0.7,1.3,7.6,2024
268,Jaden McDaniels,SF,23,MIN,9,9,24.7,4.3,7.8,.557,1.1,3.0,.370,3.2,4.8,.674,.629,0.1,0.1,1.000,0.8,1.6,2.3,1.4,0.7,0.4,0.9,3.7,9.9,2024
269,Jalen McDaniels,SF,26,TOR,9,0,9.8,0.6,3.0,.185,0.2,1.7,.133,0.3,1.3,.250,.222,0.0,0.0,,0.1,1.2,1.3,0.6,0.3,0.2,0.2,0.7,1.3,2024
270,Doug McDermott,SF,32,SAS,11,0,17.5,2.6,5.2,.509,2.1,4.0,.523,0.5,1.2,.462,.711,0.3,0.4,.750,0.2,1.1,1.3,1.6,0.2,0.1,0.8,1.4,7.6,2024
271,JaVale McGee,C,36,SAC,8,0,11.5,3.1,4.8,.658,0.0,0.1,.000,3.1,4.6,.676,.658,0.8,1.1,.667,1.5,2.3,3.8,0.4,0.4,0.4,1.0,1.1,7.0,2024
272,Bryce McGowens,SG,21,CHO,5,0,17.0,1.2,2.8,.429,0.6,1.8,.333,0.6,1.0,.600,.536,0.8,1.2,.667,0.0,2.2,2.2,0.6,0.6,0.0,0.8,1.8,3.8,2024
273,Jordan McLaughlin,PG,27,MIN,5,0,3.8,0.2,0.8,.250,0.2,0.4,.500,0.0,0.4,.000,.375,0.4,0.4,1.000,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.4,1.0,2024
274,De'Anthony Melton,SG,25,PHI,11,11,28.8,3.5,9.1,.380,2.1,5.0,.418,1.4,4.1,.333,.495,1.8,2.4,.769,0.5,3.2,3.7,3.9,1.2,0.3,1.2,2.5,10.8,2024
275,Sam Merrill,SG,27,CLE,5,0,5.0,0.4,1.4,.286,0.4,1.2,.333,0.0,0.2,.000,.429,0.0,0.0,,0.2,0.4,0.6,0.6,0.4,0.0,0.2,0.0,1.2,2024
276,Chimezie Metu,C,26,PHO,5,0,2.6,0.6,1.6,.375,0.0,0.6,.000,0.6,1.0,.600,.375,0.4,0.4,1.000,0.0,0.8,0.8,0.2,0.0,0.2,0.4,0.4,1.6,2024
277,Vasilije Micić,PG,30,OKC,4,0,12.8,1.5,3.3,.462,1.0,2.0,.500,0.5,1.3,.400,.615,0.5,1.0,.500,0.0,0.5,0.5,2.8,0.3,0.0,1.5,0.8,4.5,2024
278,Khris Middleton,SF,32,MIL,9,9,19.1,4.4,8.8,.506,1.2,3.7,.333,3.2,5.1,.630,.576,1.2,1.6,.786,0.7,3.0,3.7,3.8,0.8,0.1,1.8,1.4,11.3,2024
279,Brandon Miller,SF,21,CHO,9,4,28.8,4.9,11.0,.444,1.1,4.0,.278,3.8,7.0,.540,.495,1.9,2.4,.773,1.4,2.8,4.2,1.6,0.4,0.6,0.9,3.2,12.8,2024
280,Jordan Miller,SF,24,LAC,2,0,3.5,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2024
281,Leonard Miller,SF,20,MIN,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
282,Shake Milton,SG,27,MIN,11,0,15.6,1.8,4.5,.400,0.5,1.9,.286,1.3,2.6,.483,.460,1.0,1.4,.733,0.3,1.8,2.1,1.2,0.6,0.1,1.1,1.7,5.2,2024
283,Justin Minaya,SF,24,POR,3,0,4.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.7,0.3,1.0,0.0,0.0,0.0,0.3,0.3,0.0,2024
284,Josh Minott,SF,21,MIN,6,0,3.0,0.7,1.5,.444,0.0,0.7,.000,0.7,0.8,.800,.444,0.3,0.7,.500,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.3,1.7,2024
285,Davion Mitchell,PG,25,SAC,8,3,21.0,2.4,6.4,.373,1.3,3.8,.333,1.1,2.6,.429,.471,0.1,0.1,1.000,0.1,1.5,1.6,2.8,0.5,0.3,1.0,2.4,6.1,2024
286,Donovan Mitchell,SG,27,CLE,10,10,36.2,10.5,21.6,.486,3.5,8.9,.393,7.0,12.7,.551,.567,4.7,5.3,.887,0.9,4.0,4.9,5.3,2.0,0.6,2.6,2.3,29.2,2024
287,Evan Mobley,PF,22,CLE,11,11,32.6,6.8,12.7,.536,0.1,0.6,.143,6.7,12.1,.556,.539,2.8,3.8,.738,3.1,7.4,10.5,2.9,0.8,1.9,2.0,2.7,16.5,2024
288,Isaiah Mobley,PF,24,CLE,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2024
289,Malik Monk,SG,25,SAC,10,0,23.5,4.0,10.5,.381,2.0,5.7,.351,2.0,4.8,.417,.476,3.1,3.7,.838,0.8,2.2,3.0,5.4,0.5,0.7,2.3,1.6,13.1,2024
290,Moses Moody,SG,21,GSW,12,1,16.8,2.6,5.6,.463,1.2,3.3,.350,1.4,2.3,.630,.567,0.8,1.1,.769,0.8,2.1,2.8,1.2,1.1,0.3,0.4,0.9,7.2,2024
291,Marcus Morris,PF,34,PHI,4,0,9.5,0.5,2.3,.222,0.0,1.0,.000,0.5,1.3,.400,.222,0.3,0.3,1.000,0.0,1.3,1.3,0.3,0.0,0.3,0.3,0.8,1.3,2024
292,Markieff Morris,PF,34,DAL,1,0,4.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
293,Dejounte Murray,SG,27,ATL,11,11,34.5,8.3,16.5,.500,2.2,5.6,.387,6.1,10.9,.558,.566,3.3,4.0,.818,0.5,4.1,4.6,5.6,1.5,0.4,2.5,1.4,22.0,2024
294,Jamal Murray,PG,26,DEN,7,7,30.9,6.0,13.9,.433,2.0,4.6,.438,4.0,9.3,.431,.505,2.3,2.7,.842,0.4,2.1,2.6,7.4,0.3,0.7,2.3,1.9,16.3,2024
295,Keegan Murray,SF,23,SAC,10,10,34.3,5.3,13.7,.387,2.4,8.1,.296,2.9,5.6,.518,.474,1.4,1.7,.824,1.8,5.0,6.8,1.9,1.5,0.7,1.2,2.2,14.4,2024
296,Kris Murray,SF,23,POR,6,0,7.2,0.3,1.2,.286,0.2,0.7,.250,0.2,0.5,.333,.357,0.0,0.0,,0.0,0.5,0.5,0.5,0.3,0.2,0.0,0.7,0.8,2024
297,Mike Muscala,C,32,WAS,6,1,10.7,1.0,2.7,.375,0.3,1.3,.250,0.7,1.3,.500,.438,0.7,0.7,1.000,0.3,1.8,2.2,0.7,0.2,0.2,1.0,1.2,3.0,2024
298,Svi Mykhailiuk,SF,26,BOS,6,0,8.0,0.8,2.5,.333,0.5,2.0,.250,0.3,0.5,.667,.433,0.0,0.0,,0.2,0.7,0.8,0.2,0.3,0.0,0.7,0.7,2.2,2024
299,Larry Nance Jr.,C,31,NOP,10,0,15.7,1.6,3.3,.485,0.3,0.9,.333,1.3,2.4,.542,.530,0.3,0.6,.500,1.3,3.1,4.4,0.8,0.5,0.1,0.9,1.4,3.8,2024
300,Andrew Nembhard,PG,24,IND,11,1,18.4,3.3,6.8,.480,0.7,2.5,.286,2.5,4.3,.596,.533,0.3,0.4,.750,0.4,1.5,1.8,4.0,0.8,0.0,1.5,1.9,7.5,2024
301,Aaron Nesmith,SF,24,IND,11,0,23.9,4.0,7.8,.512,2.1,4.5,.460,1.9,3.3,.583,.645,1.1,1.7,.632,0.9,2.6,3.5,1.2,0.8,0.6,0.5,3.0,11.2,2024
302,Georges Niang,PF,30,CLE,11,1,22.3,2.4,6.7,.351,1.3,4.5,.286,1.1,2.3,.480,.446,0.4,0.4,1.000,0.4,3.3,3.6,0.9,0.1,0.2,0.6,2.5,6.4,2024
303,Daishen Nix,PG,21,MIN,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,2024
304,Zeke Nnaji,PF,23,DEN,11,0,10.9,1.3,2.5,.500,0.1,0.5,.200,1.2,2.1,.565,.518,0.6,1.1,.583,0.8,1.7,2.5,0.5,0.2,0.5,0.4,1.1,3.3,2024
305,Markquis Nowell,SG,24,TOR,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2024
306,Jusuf Nurkić,C,29,PHO,11,11,27.1,3.1,7.9,.391,0.7,2.7,.267,2.4,5.2,.456,.437,2.5,3.6,.700,2.7,6.1,8.8,4.5,1.3,0.9,1.9,3.4,9.5,2024
307,Jordan Nwora,SF,25,IND,3,0,12.0,2.0,6.0,.333,0.7,2.7,.250,1.3,3.3,.400,.389,0.7,1.0,.667,0.3,1.7,2.0,1.3,0.0,0.3,1.7,0.7,5.3,2024
308,Royce O'Neale,SF,30,BRK,11,4,31.5,2.9,8.1,.360,2.6,6.8,.387,0.3,1.3,.214,.522,0.2,0.4,.500,0.7,5.4,6.1,3.2,0.5,0.8,1.1,3.3,8.6,2024
309,Chuma Okeke,SF,25,ORL,5,0,3.2,0.2,0.8,.250,0.0,0.6,.000,0.2,0.2,1.000,.250,0.0,0.0,,0.6,0.6,1.2,0.2,0.0,0.0,0.2,0.0,0.4,2024
310,Josh Okogie,SG,25,PHO,11,6,23.3,2.5,5.5,.443,0.6,2.4,.269,1.8,3.2,.571,.500,2.5,2.8,.871,1.7,1.5,3.2,1.2,0.7,0.5,0.8,1.2,8.0,2024
311,Onyeka Okongwu,C,23,ATL,11,0,22.4,3.3,5.3,.621,0.2,0.7,.250,3.1,4.5,.680,.638,2.5,2.7,.933,2.7,4.1,6.8,1.5,0.6,1.0,1.1,3.2,9.3,2024
312,Isaac Okoro,SF,23,CLE,6,5,28.8,3.5,7.2,.488,1.0,2.5,.400,2.5,4.7,.536,.558,1.5,2.2,.692,2.0,2.8,4.8,2.2,1.2,0.5,1.0,3.8,9.5,2024
313,Kelly Olynyk,C,32,UTA,11,0,20.7,2.8,4.8,.585,0.8,1.8,.450,2.0,3.0,.667,.670,1.3,1.5,.875,2.3,3.7,6.0,3.4,1.1,0.2,1.9,2.9,7.7,2024
314,Eugene Omoruyi,SF,26,WAS,6,0,8.0,2.2,3.2,.684,0.3,0.8,.400,1.8,2.3,.786,.737,0.8,1.3,.625,0.7,1.8,2.5,1.0,0.5,0.2,1.0,1.0,5.5,2024
315,Cedi Osman,SF,28,SAS,11,0,19.3,3.0,5.9,.508,1.5,3.5,.447,1.5,2.5,.593,.638,0.3,0.5,.600,0.3,1.4,1.6,1.4,0.5,0.3,0.5,1.2,7.8,2024
316,Kelly Oubre Jr.,SF,28,PHI,8,5,29.0,5.9,11.8,.500,1.8,4.6,.378,4.1,7.1,.579,.574,2.8,3.5,.786,1.4,3.8,5.1,0.6,1.4,0.4,0.9,2.4,16.3,2024
317,Chris Paul,PG,38,GSW,12,3,27.8,3.4,9.1,.376,0.7,3.3,.200,2.8,5.8,.478,.413,1.3,1.4,.882,0.3,3.5,3.8,7.0,1.6,0.1,1.3,1.4,8.8,2024
318,Cameron Payne,PG,29,MIL,11,2,17.9,2.5,4.9,.500,1.4,2.5,.536,1.1,2.4,.462,.639,0.5,0.5,1.000,0.1,0.9,1.0,2.1,0.5,0.1,0.9,2.3,6.8,2024
319,Gary Payton II,SG,31,GSW,11,0,18.1,2.6,5.5,.483,0.8,2.3,.360,1.8,3.2,.571,.558,0.4,0.5,.667,1.2,2.0,3.2,1.1,1.2,0.2,0.5,1.6,6.5,2024
320,Filip Petrušev,C,23,TOT,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2024
320,Filip Petrušev,C,23,PHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
320,Filip Petrušev,C,23,SAC,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
321,Julian Phillips,SF,20,CHI,5,0,2.8,0.0,0.6,.000,0.0,0.4,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,2024
322,Jalen Pickett,SG,24,DEN,5,0,5.2,1.2,1.6,.750,0.6,1.0,.600,0.6,0.6,1.000,.938,0.0,0.0,,0.0,0.8,0.8,0.4,0.2,0.0,0.4,0.6,3.0,2024
323,Mason Plumlee,C,33,LAC,6,0,17.0,2.0,3.2,.632,0.0,0.0,,2.0,3.2,.632,.632,1.0,2.3,.429,1.3,4.2,5.5,1.0,0.7,0.2,0.8,1.0,5.0,2024
324,Brandin Podziemski,SG,20,GSW,7,0,13.0,2.4,5.0,.486,0.7,1.7,.417,1.7,3.3,.522,.557,0.6,0.7,.800,0.9,2.4,3.3,1.9,0.4,0.0,1.1,1.6,6.1,2024
325,Jakob Poeltl,C,28,TOR,11,11,25.0,4.9,7.5,.659,0.0,0.0,,4.9,7.5,.659,.659,0.7,1.7,.421,3.0,5.2,8.2,1.8,0.9,0.9,1.5,2.9,10.5,2024
326,Aleksej Pokusevski,PF,22,OKC,4,0,5.8,0.0,1.3,.000,0.0,1.3,.000,0.0,0.0,,.000,0.3,0.5,.500,0.0,1.0,1.0,0.3,0.0,0.3,0.8,0.8,0.3,2024
327,Jordan Poole,SG,24,WAS,11,11,29.0,6.1,15.0,.406,2.0,6.6,.301,4.1,8.4,.489,.473,2.0,2.5,.786,0.5,2.1,2.6,3.6,1.3,0.5,3.0,3.2,16.2,2024
328,Craig Porter Jr.,PG,23,CLE,6,0,8.5,1.3,2.8,.471,0.0,0.2,.000,1.3,2.7,.500,.471,0.5,1.3,.375,0.2,1.5,1.7,1.0,0.5,0.2,0.8,1.3,3.2,2024
329,Michael Porter Jr.,SF,25,DEN,11,11,30.0,6.4,13.6,.467,2.6,7.5,.354,3.7,6.2,.603,.563,0.9,1.2,.769,1.9,6.0,7.9,1.6,0.5,0.9,1.0,2.4,16.3,2024
330,Otto Porter Jr.,SF,30,TOR,6,1,14.8,1.2,3.2,.368,0.8,2.2,.385,0.3,1.0,.333,.500,0.2,0.2,1.000,0.5,2.0,2.5,0.2,0.5,0.5,0.0,1.2,3.3,2024
331,Bobby Portis,PF,28,MIL,11,0,22.8,4.9,9.9,.495,0.8,2.6,.310,4.1,7.3,.563,.537,2.3,3.0,.758,1.1,5.2,6.3,1.5,1.0,0.5,1.1,2.5,12.9,2024
332,Kristaps Porziņģis,C,28,BOS,10,10,30.2,6.5,11.5,.565,2.0,4.9,.408,4.5,6.6,.682,.652,4.7,5.6,.839,1.3,4.9,6.2,1.9,0.4,1.3,1.2,3.4,19.7,2024
333,Dwight Powell,C,32,DAL,11,1,16.2,1.8,2.5,.741,0.1,0.1,1.000,1.7,2.4,.731,.759,2.3,3.0,.758,1.9,2.2,4.1,1.5,0.4,0.7,0.3,1.8,6.0,2024
334,Norman Powell,SG,30,LAC,10,0,24.4,4.5,8.5,.529,2.0,4.4,.455,2.5,4.1,.610,.647,1.8,2.6,.692,0.1,1.8,1.9,1.4,0.5,0.5,1.2,2.7,12.8,2024
335,Taurean Prince,PF,29,LAL,10,10,29.8,3.5,7.9,.443,1.4,4.4,.318,2.1,3.5,.600,.532,0.7,0.9,.778,0.1,1.8,1.9,0.9,0.6,0.5,0.4,2.7,9.1,2024
336,Payton Pritchard,PG,26,BOS,11,0,20.7,1.7,5.2,.333,0.7,3.1,.235,1.0,2.1,.478,.404,0.5,0.6,.857,1.4,1.9,3.3,3.5,0.2,0.0,0.6,1.5,4.7,2024
337,Olivier-Maxence Prosper,PF,21,DAL,5,0,5.8,0.8,2.0,.400,0.2,1.0,.200,0.6,1.0,.600,.450,0.8,1.6,.500,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.6,2.6,2024
338,Immanuel Quickley,SG,24,NYK,11,0,24.7,5.1,11.2,.455,2.0,5.1,.393,3.1,6.1,.507,.545,2.8,3.2,.886,0.4,3.0,3.4,3.8,0.5,0.0,1.4,1.5,15.0,2024
339,Lester Quinones,SG,23,GSW,1,0,5.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2024
340,Julius Randle,PF,29,NYK,11,11,34.5,6.4,17.7,.359,1.8,6.5,.282,4.5,11.3,.403,.410,4.5,6.3,.710,2.3,8.0,10.3,5.2,1.0,0.0,2.8,2.7,19.0,2024
341,Duop Reath,C,27,POR,3,0,14.7,3.3,8.0,.417,1.7,5.3,.313,1.7,2.7,.625,.521,0.7,0.7,1.000,1.0,1.0,2.0,2.0,0.0,0.3,1.0,2.0,9.0,2024
342,Austin Reaves,SG,25,LAL,12,8,31.9,4.8,10.9,.443,1.5,4.4,.340,3.3,6.5,.513,.511,2.4,3.0,.806,1.2,4.1,5.3,4.8,1.2,0.1,2.6,1.4,13.6,2024
343,Cam Reddish,SF,24,LAL,12,6,23.8,2.8,6.4,.429,1.1,3.1,.351,1.7,3.3,.500,.513,1.4,1.8,.810,0.5,2.3,2.8,1.0,1.6,0.3,0.6,1.7,8.0,2024
344,Paul Reed,C,24,PHI,11,0,13.1,2.2,3.5,.615,0.1,0.4,.250,2.1,3.2,.657,.628,0.2,0.4,.500,1.7,2.9,4.6,1.1,0.4,0.5,0.8,2.1,4.6,2024
345,Naz Reid,C,24,MIN,11,0,21.5,4.7,8.7,.542,1.8,4.1,.444,2.9,4.6,.627,.646,1.7,1.8,.950,1.0,3.2,4.2,0.7,0.6,0.4,0.9,1.2,13.0,2024
346,Jared Rhoden,SG,24,DET,5,0,6.0,1.0,1.8,.556,0.2,0.8,.250,0.8,1.0,.800,.611,0.4,0.4,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.4,0.8,2.6,2024
347,Nick Richards,C,26,CHO,10,0,18.5,3.2,4.0,.800,0.0,0.0,,3.2,4.0,.800,.800,2.7,3.4,.794,1.7,4.7,6.4,0.4,0.4,1.3,1.3,3.2,9.1,2024
348,Josh Richardson,SG,30,MIA,8,1,24.9,2.8,7.1,.386,1.0,3.8,.267,1.8,3.4,.519,.456,0.9,1.0,.875,0.1,2.5,2.6,2.8,0.4,0.3,1.1,2.0,7.4,2024
349,Duncan Robinson,SF,29,MIA,11,3,28.5,4.9,10.9,.450,2.6,7.3,.363,2.3,3.6,.625,.571,0.8,0.9,.900,0.4,2.6,3.0,2.5,0.5,0.2,1.1,2.1,13.3,2024
350,Jerome Robinson,SG,26,GSW,1,0,5.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
351,Mitchell Robinson,C,25,NYK,11,11,29.6,2.8,5.0,.564,0.0,0.0,,2.8,5.0,.564,.564,0.9,2.3,.400,5.8,5.9,11.7,0.5,1.5,1.0,0.5,2.0,6.5,2024
352,Orlando Robinson,C,23,MIA,2,0,15.0,2.0,4.5,.444,0.5,0.5,1.000,1.5,4.0,.375,.500,1.0,1.0,1.000,1.0,3.0,4.0,3.5,0.5,0.5,1.5,2.0,5.5,2024
353,Jeremiah Robinson-Earl,PF,23,NOP,4,1,19.0,2.5,4.5,.556,1.5,2.3,.667,1.0,2.3,.444,.722,1.0,1.0,1.000,1.3,3.0,4.3,1.0,0.5,0.0,1.5,1.8,7.5,2024
354,David Roddy,PF,22,MEM,11,1,22.6,3.7,8.1,.461,0.7,2.9,.250,3.0,5.2,.579,.506,0.6,0.8,.778,1.1,2.6,3.7,1.1,0.5,0.5,0.8,2.0,8.8,2024
355,Ryan Rollins,PG,21,WAS,7,0,6.9,1.3,2.6,.500,0.1,0.3,.500,1.1,2.3,.500,.528,1.9,2.3,.813,0.3,1.1,1.4,1.4,1.1,0.3,1.0,0.9,4.6,2024
356,Derrick Rose,PG,35,MEM,4,0,17.8,3.0,9.3,.324,1.3,2.5,.500,1.8,6.8,.259,.392,0.8,1.0,.750,1.0,1.0,2.0,2.8,0.5,0.3,1.5,0.8,8.0,2024
357,Terry Rozier,SG,29,CHO,5,5,35.8,8.4,18.0,.467,1.6,6.2,.258,6.8,11.8,.576,.511,3.6,4.4,.818,0.8,3.2,4.0,5.0,0.6,0.4,2.2,0.8,22.0,2024
358,Rayan Rupert,SG,19,POR,4,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.3,0.5,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,2024
